id,ativo,tipo,tema,subtema,titulo,autor,fonte,data_publicacao,resumo,palavras_chave,url_original,url_pdf_institucional,capa,paginas,idioma,data_inclusao
10-great-free-ai-learning-resources-for-2026-by-omar-s-2114e37,TRUE,medium,"Aprendizado, pesquisa e produtividade",Aprendizado e Pesquisa,10 Great Free AI Learning Resources for 2026,Omar Santos,Medium,,"Reúne dez recursos gratuitos para estudar inteligência artificial em 2026, incluindo cursos, documentação e materiais práticos. A seleção ajuda o leitor a organizar uma trilha de aprendizagem sem depender de assinaturas pagas.",Deep learning | LLMs | IA generativa | Agentes | MCP,https://medium.com/p/45c7d6de6867,,covers/10-great-free-ai-learning-resources-for-2026-by-omar-s-2114e37-01.jpg,10,en,2026-07-14
20-hidden-notebooklm-features-most-users-never-discove-ab46df1,TRUE,medium,"Aprendizado, pesquisa e produtividade",Produtividade com IA e NotebookLM,20 Hidden NotebookLM Features Most Users Never Discover,Mubashir Burfat,Medium,"Jun, 2026","Apresenta vinte recursos pouco conhecidos do NotebookLM e mostra como aplicá-los à leitura, síntese e exploração de documentos. O foco está em transformar a ferramenta em um ambiente mais produtivo para estudo e pesquisa.",Transformers | RAG | Conhecimento | NotebookLM | Pesquisa,https://medium.com/p/076ca3c1a31f,,covers/20-hidden-notebooklm-features-most-users-never-discove-ab46df1-01.jpg,19,en,2026-07-14
6-research-papers-every-data-scientist-should-read-in--b756c4a,TRUE,medium,"Aprendizado, pesquisa e produtividade",Aprendizado e Pesquisa,6 Research Papers Every Data Scientist Should Read In 2026,Andres Vourakis,Medium,,Seleciona seis artigos científicos considerados relevantes para profissionais de ciência de dados em 2026. O texto contextualiza a contribuição de cada trabalho e sugere por que ele merece entrar em uma agenda de leitura técnica.,Transformers | LLMs | Agentes | Conhecimento | Pesquisa,https://medium.com/p/eeb660fd2db1,,covers/6-research-papers-every-data-scientist-should-read-in--b756c4a-01.jpg,10,en,2026-07-04
7-genai-terms-that-keep-showing-up-everywhere-by-shrey-b83ea93,TRUE,medium,LLMs e IA generativa,Conceitos e Fundamentos,7 GenAI Terms That Keep Showing Up Everywhere,Shreyas Naphad,Medium,,"Explica sete termos recorrentes no debate sobre IA generativa, relacionando conceitos técnicos a usos práticos. É uma introdução para leitores que desejam acompanhar discussões sobre modelos, agentes e aplicações sem se perder no vocabulário.",Vetores | IA generativa | Agentes | RAG | Bases vetoriais,https://medium.com/p/7e5d81f0639c,,covers/7-genai-terms-that-keep-showing-up-everywhere-by-shrey-b83ea93-1.jpg,9,en,2026-07-04
7-super-dangerous-things-to-build-with-anthropic-s-fab-07a6546,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,7 Super Dangerous Things To Build With Anthropic’s Fable 5 Before It Gets Banned Again,Joe Procopio,Entrepreneurship Handbook,"Jul, 2026","Explora, em tom provocativo, sete aplicações avançadas que poderiam ser construídas com o modelo Fable 5 da Anthropic. O artigo combina ideias de produto, automação e riscos associados ao uso de modelos com maior autonomia.",Anthropic | Segurança,https://medium.com/p/85696b234e7a,,covers/7-super-dangerous-things-to-build-with-anthropic-s-fab-07a6546-1.jpg,7,en,2026-07-14
agent-harnesses-with-claude-intuitively-and-exhaustive-12b1fb0,TRUE,medium,"Agentes, RAG e aplicações",Arquitetura de Agentes,Agent Harnesses with Claude — Intuitively and Exhaustively Explained,Daniel Warfield,Medium,"Jun, 2026","Explica o conceito de agent harness e os componentes que cercam um modelo para transformá-lo em um agente confiável. Discute ferramentas, memória, planejamento, execução e mecanismos de controle usando Claude como referência.",LLMs | Agentes | Claude | Anthropic | Programação,https://medium.com/p/1ab5a3697d5f,,covers/agent-harnesses-with-claude-intuitively-and-exhaustive-12b1fb0-01.jpg,53,en,2026-07-04
ai-isn-t-magic-it-s-math-and-most-people-are-skipping--a681e9b,TRUE,medium,"Fundamentos, matemática e deep learning",Matematica para IA,AI Isn’t Magic. It’s Math — and Most People Are Skipping the Hard Part,Robi Kumar Tomar,AI Mind,,"Defende que compreender IA exige domínio dos fundamentos matemáticos que sustentam os modelos. O texto percorre conceitos como álgebra linear, probabilidade, otimização e cálculo, mostrando como eles aparecem no aprendizado de máquina.",Matemática | Álgebra linear | Vetores | Redes neurais | Deep learning,https://medium.com/p/571fd2c5c33f,,covers/ai-isn-t-magic-it-s-math-and-most-people-are-skipping--a681e9b-01.jpg,13,en,2026-07-01
anthropic-just-published-honest-data-nobody-in-ai-want-f12fb0b,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,Anthropic Just Published Honest Data Nobody in AI Wants to See,Marco Kotrotsos,Medium,,"Examina dados divulgados pela Anthropic sobre adoção, produtividade e limites do uso de IA no trabalho. O autor contrapõe expectativas de transformação imediata a evidências mais graduais e desiguais.",Atenção | Claude | Conhecimento | Anthropic | Pesquisa,https://medium.com/p/981f2591d0a9,,covers/anthropic-just-published-honest-data-nobody-in-ai-want-f12fb0b-01.jpg,11,en,2026-07-14
attention-in-transformers-intuitively-explained-by-ama-17c4a19,TRUE,medium,Transformers e atenção,,Attention in Transformers — Intuitively Explained,Amarpreet Singh,Medium,"Jun, 2026",Apresenta uma explicação intuitiva do mecanismo de atenção nos Transformers. O artigo mostra como o modelo pondera relações entre tokens e por que essa operação permite representar contexto de maneira mais flexível.,Vetores | Redes neurais | Transformers | Atenção | RNN,https://medium.com/p/bd2f0f46d32a,,covers/attention-in-transformers-intuitively-explained-by-ama-17c4a19-01.jpg,23,en,2026-07-01
attention-mechanism-the-brain-behind-llms-medium-739d813,TRUE,medium,Transformers e atenção,,Attention Mechanism: The Brain Behind LLMs,Autoria não identificada,Medium,,"Introduz o mecanismo de atenção como elemento central dos grandes modelos de linguagem. Explica consultas, chaves e valores e relaciona esses componentes à capacidade de selecionar informações relevantes no contexto.",Vetores | Redes neurais | Transformers | Atenção | LLMs,https://medium.com/p/67e2fdc84c5b,,covers/attention-mechanism-the-brain-behind-llms-medium-739d813-01.jpg,11,en,2026-07-02
before-you-use-claude-cowork-build-this-first-by-the-p-531ea55,TRUE,medium,"Agentes, RAG e aplicações",MCP e Ferramentas Claude,"Before You Use Claude Cowork, Build This First",The PyCoach,Medium,"Jul, 2026","Propõe preparar uma estrutura de contexto e organização antes de adotar o Claude Cowork. O objetivo é fornecer ao assistente regras, referências e rotinas que tornem a colaboração mais consistente e reutilizável.",MCP | Claude,https://medium.com/p/ce587b6bd41e,,covers/before-you-use-claude-cowork-build-this-first-by-the-p-531ea55-01.jpg,27,en,2026-07-14
before-you-use-claude-create-this-file-by-the-pycoach--fb6cd6f,TRUE,medium,"Agentes, RAG e aplicações",MCP e Ferramentas Claude,"Before You Use Claude, Create This File",The PyCoach,Medium,"May, 2026","Recomenda criar um arquivo de instruções persistentes para orientar o Claude em tarefas recorrentes. O texto mostra como registrar preferências, contexto e padrões de trabalho para reduzir repetições e melhorar a qualidade das respostas.",MCP | Claude | ChatGPT | Pesquisa,https://medium.com/p/22049120b48a,,covers/before-you-use-claude-create-this-file-by-the-pycoach--fb6cd6f-01.jpg,16,en,2026-07-07
chapter-3-what-is-a-transformer-by-generative-ai-mediu-a8b18e8,TRUE,medium,Transformers e atenção,,Chapter 3: What Is a Transformer,Generative AI,Medium,,"Oferece uma introdução à arquitetura Transformer e aos motivos de sua importância para a IA generativa. O capítulo apresenta atenção, processamento paralelo e representação contextual em linguagem acessível.",Transformers | Atenção | LLMs | IA generativa | RAG,https://medium.com/p/21a20c3fec2d,,covers/chapter-3-what-is-a-transformer-by-generative-ai-mediu-a8b18e8-1.jpg,7,en,2026-07-07
chatgpt-is-getting-its-biggest-update-ever-by-tanmay-b-74727f4,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,ChatGPT Is Getting Its Biggest Update Ever,Tanmay Bansal,Artificial Intelligence in Plain English,"Jun, 2026","Discute uma atualização de grande alcance do ChatGPT e suas possíveis consequências para usuários e desenvolvedores. O artigo destaca mudanças de capacidade, integração de ferramentas e evolução do produto como plataforma.",Vetores | Transformers | Agentes | RAG | Claude,https://medium.com/p/bacfef43d8ff,,covers/chatgpt-is-getting-its-biggest-update-ever-by-tanmay-b-74727f4-1.jpg,6,en,2026-07-04
claude-code-agents-what-they-actually-are-data-science-283ad38,TRUE,medium,"Agentes, RAG e aplicações",Arquitetura de Agentes,Claude Code agents: what they actually are,Autoria não identificada,Data Science Collective,,"Esclarece o que são agentes no Claude Code e como eles se diferenciam de simples chamadas ao modelo. O texto detalha delegação de tarefas, uso de ferramentas, contexto e coordenação entre agentes especializados.",LLMs | Agentes | Claude | Anthropic | Segurança,https://medium.com/p/2d6ea121b936,,covers/claude-code-agents-what-they-actually-are-data-science-283ad38-01.jpg,19,en,2026-07-04
claude-vs-gemini-which-ai-assistant-is-actually-more-u-29907f0,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,Claude vs. Gemini: Which AI Assistant Is Actually More Useful for Daily Work,Mubashir Burfat,Medium,"Jun, 2026","Compara Claude e Gemini em tarefas cotidianas, considerando escrita, pesquisa, análise de arquivos e integração com serviços. A avaliação ajuda o leitor a escolher a ferramenta conforme o tipo de trabalho realizado.",Agentes | Claude | Conhecimento | Gemini | Pesquisa,https://medium.com/p/8d164d073955,,covers/claude-vs-gemini-which-ai-assistant-is-actually-more-u-29907f0-1.jpg,7,en,2026-07-04
deepseek-just-did-what-the-industry-thought-was-imposs-2627cfe,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,DeepSeek Just Did What the Industry Thought Was Impossible,Pranit naik,Medium,"Jul, 2026","Relata um avanço atribuído ao DeepSeek e discute por que ele surpreendeu o setor de IA. O texto relaciona desempenho, eficiência e abertura tecnológica à competição entre laboratórios e modelos de fronteira.",LLMs | ChatGPT | Gemini | DeepSeek | Pesquisa,https://medium.com/p/7321e7bb083d,,covers/deepseek-just-did-what-the-industry-thought-was-imposs-2627cfe-01.jpg,10,en,2026-07-10
deepseek-made-their-ai-85-faster-without-touching-the--92cd92c,TRUE,medium,"Agentes, RAG e aplicações",Engenharia e Seguranca de Apps,DeepSeek Made Their AI 85% Faster Without Touching the Model or Buying a Single Chip,Nov Tech,The Geopolitical Economist,46216.5,Explica como o framework DSpark acelerou a inferência do DeepSeek sem alterar os pesos do modelo nem adicionar hardware. O ganho vem de técnicas de decodificação especulativa e melhor aproveitamento da infraestrutura existente.,Agentes | DeepSeek | Indústria | Programação,https://medium.com/p/e59b308334dd,,covers/deepseek-made-their-ai-85-faster-without-touching-the--92cd92c-01.jpg,11,en,2026-07-15
did-anthropic-s-secret-model-mythos-6-just-leak-by-pra-1d8616b,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,"Did Anthropic’s Secret Model, Mythos 6, Just Leak",Pranit naik,Medium,"Jun, 2026","Investiga indícios de um possível modelo não anunciado da Anthropic, identificado como Mythos 6. O artigo reúne rumores, resultados e sinais públicos, distinguindo evidências de especulação.",Claude | Anthropic | Pesquisa | Segurança,https://medium.com/p/5772a4a43ac7,,covers/did-anthropic-s-secret-model-mythos-6-just-leak-by-pra-1d8616b-01.jpg,10,en,2026-07-10
from-perceptron-to-transformers-understanding-how-ai-a-a7bc348,TRUE,medium,"Fundamentos, matemática e deep learning",Redes Neurais e Aprendizado,From Perceptron to Transformers. Understanding how AI actually learns.,@anello,Artificial Intelligence in Plain English,,"Percorre a evolução das redes neurais desde o perceptron até os Transformers. A narrativa conecta mudanças de arquitetura aos avanços na capacidade de aprender padrões, representar sequências e trabalhar com contexto.",Redes neurais | Deep learning | Transformers | Atenção | Pesquisa,https://medium.com/p/a3af9fca6025,,covers/from-perceptron-to-transformers-understanding-how-ai-a-a7bc348-01.jpg,31,en,2026-07-02
generative-ai-basic-concepts-llm-large-language-model--0812aad,TRUE,medium,LLMs e IA generativa,Conceitos e Fundamentos,Generative AI Basic Concepts. LLM (Large Language Model): The Large…,mustafabakla,Medium,,"Apresenta conceitos básicos de IA generativa e explica o que são grandes modelos de linguagem. O texto descreve treinamento, geração de texto e limitações fundamentais para leitores iniciantes.",Redes neurais | Deep learning | Transformers | LLMs | IA generativa,https://medium.com/p/8733a1ce1941,,covers/generative-ai-basic-concepts-llm-large-language-model--0812aad-1.jpg,5,en,2026-06-30
glm-5-2-is-free-right-now-no-api-key-needed-and-it-sur-7d2910b,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,"GLM-5.2 Is Free Right Now, No API Key Needed, and It Surprised Me",Nitin Gavhane,Medium,"Jul, 2026","Avalia o GLM-5.2 durante um período de acesso gratuito e sem chave de API. O autor relata impressões de uso, capacidades do modelo e situações em que ele pode funcionar como alternativa a serviços comerciais.",Agentes | Pesquisa | Programação,https://medium.com/p/653632330ba9,,covers/glm-5-2-is-free-right-now-no-api-key-needed-and-it-sur-7d2910b-1.jpg,8,en,2026-07-14
google-just-quietly-released-the-missing-piece-for-ai--48efda2,TRUE,medium,Bases vetoriais e conhecimento,Formatos e Gestao do Conhecimento,Google Just Quietly Released the Missing Piece for AI Agents. It’s Called OKF.,Akhil,Medium,"Jun, 2026","Apresenta o Open Knowledge Format como uma possível camada de interoperabilidade para agentes de IA. O artigo explica como um formato comum pode organizar conhecimento, versões e contexto entre diferentes ferramentas.",LLMs | Agentes | Claude | Conhecimento | Programação,https://medium.com/p/7e96a33898ce,,covers/google-just-quietly-released-the-missing-piece-for-ai--48efda2-01.jpg,14,en,2026-07-14
gpt-5-6-beat-fable-5-which-frontier-model-should-you-a-c010bc5,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,GPT-5.6 Beat Fable 5. Which Frontier Model Should You Actually Use,Divy Yadav,Medium,"Jul, 2026","Compara GPT-5.6 e Fable 5 em diferentes tipos de tarefa e discute qual modelo oferece melhor equilíbrio entre desempenho e uso prático. A análise considera raciocínio, programação, velocidade e adequação ao problema.",Agentes | Claude | Anthropic | Pesquisa | Indústria,https://medium.com/p/9e3506b32441,,covers/gpt-5-6-beat-fable-5-which-frontier-model-should-you-a-c010bc5-01.jpg,10,en,2026-07-14
harness-engineering-explained-the-one-layer-behind-eve-95317cf,TRUE,medium,"Agentes, RAG e aplicações",Arquitetura de Agentes,Harness Engineering Explained: The One Layer Behind Every AI Agent That Actually Works,Divy Yadav,Towards AI,"Jun, 2026","Define harness engineering como a camada de software que torna agentes utilizáveis em situações reais. O texto aborda memória, ferramentas, validação, observabilidade e limites necessários para controlar a execução.",Agentes | RAG | Claude | Gemini | Programação,https://medium.com/p/471e82030049,,covers/harness-engineering-explained-the-one-layer-behind-eve-95317cf-01.jpg,17,en,2026-07-04
how-deep-learning-actually-works-relu-backpropagation--21b6590,TRUE,medium,"Fundamentos, matemática e deep learning",Redes Neurais e Aprendizado,"How Deep Learning Actually Works: ReLU, Backpropagation & Gradient Descent Explained Simply",Vikash Singh,Medium,"May, 2026","Explica de forma encadeada como ReLU, retropropagação e descida do gradiente permitem treinar redes profundas. O artigo usa uma abordagem introdutória para ligar previsão, erro e atualização de pesos.",Redes neurais | Deep learning | Gradiente | ChatGPT | Pesquisa,https://medium.com/p/89f4fa5ee83e,,covers/how-deep-learning-actually-works-relu-backpropagation--21b6590-01.jpg,14,en,2026-07-02
how-rnns-work-and-why-everyone-stopped-using-them-data-116f78a,TRUE,medium,Transformers e atenção,,How RNNs Work (And Why everyone Stopped Using Them),Autoria não identificada,Data Science Collective,,Mostra como redes neurais recorrentes processam sequências e mantêm informação ao longo do tempo. Também explica problemas como gradientes que desaparecem e por que outras arquiteturas passaram a dominar aplicações modernas.,Redes neurais | Deep learning | Gradiente | Transformers | Atenção,https://medium.com/p/30d1986f5960,,covers/how-rnns-work-and-why-everyone-stopped-using-them-data-116f78a-01.jpg,22,en,2026-07-01
how-to-build-real-leverage-when-everyone-has-ai-medium-1b53b76,TRUE,medium,"Aprendizado, pesquisa e produtividade",Produtividade com IA e NotebookLM,How to Build Real Leverage When Everyone Has AI,Autoria não identificada,Medium,,"Discute como construir vantagem profissional quando ferramentas de IA estão amplamente disponíveis. O argumento central é que contexto, julgamento, processos próprios e capacidade de execução importam mais do que o simples acesso ao modelo.",RAG | NotebookLM | Pesquisa | Mercado | Programação,https://medium.com/p/bd487f400a0e,,covers/how-to-build-real-leverage-when-everyone-has-ai-medium-1b53b76-01.jpg,10,en,2026-07-14
how-to-use-ai-to-become-a-genius-i-know-this-seems-lik-dd6d2ed,TRUE,medium,"Aprendizado, pesquisa e produtividade",Produtividade com IA e NotebookLM,How to use AI to become a genius. I know this seems like a very weird…,Mark Schaefer,Medium,"Jun, 2026","Propõe usar a IA como parceira de aprendizagem, questionamento e expansão de repertório, e não apenas como geradora de respostas. O artigo sugere práticas para aprofundar ideias e melhorar a qualidade do pensamento.",Atenção | RAG | Claude | NotebookLM | Mercado,https://medium.com/p/d08ffab2f5d8,,covers/how-to-use-ai-to-become-a-genius-i-know-this-seems-lik-dd6d2ed-01.jpg,12,en,2026-07-08
i-connected-these-7-mcps-to-claude-i-m-never-going-bac-40e8bbc,TRUE,medium,"Agentes, RAG e aplicações",MCP e Ferramentas Claude,I Connected These 7 MCPs to Claude. I’m Never Going Back.,Mohd Anas,Medium,"Jul, 2026",Relata a integração de sete servidores MCP ao Claude para ampliar acesso a dados e ferramentas. O texto descreve os usos de cada conexão e como elas transformam o assistente em um ambiente de trabalho mais integrado.,MCP | Claude | Conhecimento | Pesquisa | Mercado,https://medium.com/p/b9f433b82a5b,,covers/i-connected-these-7-mcps-to-claude-i-m-never-going-bac-40e8bbc-01.jpg,10,en,2026-07-14
how-to-identify-if-someone-used-chatgpt-the-daily-draf-43aa14d,TRUE,medium,LLMs e IA generativa,Modelos Limites e Impactos,I’ll Instantly Know A Writer Used ChatGPT When I See This,Matt Lillywhite,The Daily Draft,46210.5,Questiona os sinais normalmente usados para acusar autores de empregar ChatGPT. O texto argumenta que detectores e marcas estilísticas são pouco confiáveis e sugere observar padrões de produção incompatíveis com o trabalho humano.,Atenção | RAG | ChatGPT | Pesquisa,https://medium.com/p/7130506fe37e,,covers/how-to-identify-if-someone-used-chatgpt-the-daily-draf-43aa14d-1.jpg,7,en,2026-07-15
if-you-use-ai-in-2026-you-should-understand-these-17-c-06ddb75,TRUE,medium,LLMs e IA generativa,Conceitos e Fundamentos,"If You Use AI in 2026, You Should Understand These 17 Concepts",Hamza Boulahia,Towards AI,"Jul, 2026","Organiza dezessete conceitos essenciais para compreender o ecossistema de IA em 2026. A leitura conecta modelos, contexto, recuperação de informação, agentes, ferramentas e infraestrutura em uma visão panorâmica.",Vetores | Redes neurais | Gradiente | LLMs | Agentes,https://medium.com/p/1b77515c55f5,,covers/if-you-use-ai-in-2026-you-should-understand-these-17-c-06ddb75-01.jpg,33,en,2026-07-07
japan-just-beat-claude-mythos-and-nobody-saw-it-coming-50eead2,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,Japan Just Beat Claude Mythos And Nobody Saw It Coming,Pranit naik,Medium,"Jun, 2026","Apresenta um modelo japonês que teria superado Claude Mythos em determinados testes. O artigo discute os resultados, o contexto competitivo e o que eles indicam sobre a diversificação geográfica da corrida por IA.",Atenção | Claude | Anthropic | Gemini | Pesquisa,https://medium.com/p/cc55238ec536,,covers/japan-just-beat-claude-mythos-and-nobody-saw-it-coming-50eead2-01.jpg,13,en,2026-07-04
